Model,Exp1_d_self_vs_ai,Exp2_d_person,Exp2_d_referent,Exp3_d_angles,Exp3_p,Exp5_d_attn_div,Exp5_behav_pct
Qwen3-0.6B,-0.280,0.294,0.216,-1.406,0.9930,2.085,3.3%
Qwen3-0.6B-Base,NA,0.510,0.113,0.771,0.0599,1.847,0.0%
Qwen3-1.7B,-0.128,0.155,0.223,-0.411,0.7842,2.698,10.0%
Qwen3-1.7B-Base,0.319,0.093,0.281,-1.282,0.9890,2.111,6.7%
Qwen3-4B,0.503,-0.057,-0.072,-1.392,0.9950,2.798,16.7%
Qwen3-4B-Base,-0.016,0.174,0.111,0.573,0.1259,2.066,6.7%
Qwen3-8B,0.206,-0.236,-0.004,-1.155,0.9840,1.586,23.3%
Qwen3-8B-Base,-0.930,0.099,-0.039,0.796,0.0509,1.930,0.0%
Qwen3-14B,0.167,-0.029,-0.284,1.467,0.0020,2.295,13.3%
Qwen3-14B-Base,-0.196,0.132,0.296,2.159,0.0010,1.605,6.7%
Llama-3.2-1B,0.105,0.066,-0.257,-0.812,0.9500,3.037,3.3%
Llama-3.2-1B-Instruct,-0.187,0.006,-1.487,-0.055,0.5025,3.353,30.0%
Llama-3.2-3B,0.106,0.139,0.508,0.064,0.4106,3.383,16.7%
Llama-3.2-3B-Instruct,0.341,0.015,-0.209,-0.115,0.5485,2.508,36.7%
Llama-3.1-8B,-0.136,0.048,0.135,-0.588,0.8761,2.977,6.7%
Llama-3.1-8B-Instruct,-0.131,0.132,-0.073,-0.206,0.6434,2.221,43.3%
