Model,exp1_self_advantage,exp2_referent_neg_log_p,exp3_divergence_effect,exp4_mean_accuracy,exp5_behavior_change
Qwen3-0.6B,-61.6424,0.3417,-2.0367,0.3400,0.0333
Qwen3-0.6B-Base,NA,0.2447,2.0271,0.3067,0.0000
Qwen3-1.7B,-2014.1069,0.3165,-1.0285,0.3000,0.1000
Qwen3-1.7B-Base,756.8746,0.5572,-2.6873,0.3200,0.0667
Qwen3-4B,13866.5631,0.2147,-12.6488,0.4400,0.1667
Qwen3-4B-Base,-19.1654,0.1717,4.4074,0.3933,0.0667
Qwen3-8B,6297.4649,0.0237,-15.2807,0.3000,0.2333
Qwen3-8B-Base,-40015.0930,0.0572,0.9054,0.3267,0.0000
Qwen3-14B,3305.3682,0.5268,11.2275,0.2847,0.1333
Qwen3-14B-Base,-4460.8985,0.4398,13.9364,0.4536,0.0667
Llama-3.2-1B,4426.4328,0.3941,-2.0506,0.3067,0.0333
Llama-3.2-1B-Instruct,-8837.9848,5.1716,-0.1515,0.3667,0.3000
Llama-3.2-3B,3341.0044,1.4701,0.1156,0.3333,0.1667
Llama-3.2-3B-Instruct,8433.1119,0.4305,-0.2166,0.3200,0.3667
Llama-3.1-8B,-5589.9819,0.1118,-3.9570,0.3200,0.0667
Llama-3.1-8B-Instruct,-5341.2813,0.0869,-0.5182,0.3200,0.4333
