Model,Condition,N_statements,N_successful_fits,Mean_R2,Median_R2,Min_R2,Max_R2,Pct_R2_below_0.2,Flag
Qwen3-0.6B,self,30,11,0.9761,0.9713,0.9326,1.0000,0.0%,OK
Qwen3-0.6B,matched_ai,30,16,0.9333,0.9713,0.3491,1.0000,0.0%,OK
Qwen3-0.6B,named_entity,30,10,0.9091,0.9713,0.4038,1.0000,0.0%,OK
Qwen3-0.6B,generic_fact,30,18,0.9322,0.9802,0.4547,1.0000,0.0%,OK
Qwen3-0.6B-Base,self,0,0,N/A,N/A,N/A,N/A,N/A,NO_FITS
Qwen3-0.6B-Base,matched_ai,0,0,N/A,N/A,N/A,N/A,N/A,NO_FITS
Qwen3-0.6B-Base,named_entity,0,0,N/A,N/A,N/A,N/A,N/A,NO_FITS
Qwen3-0.6B-Base,generic_fact,0,0,N/A,N/A,N/A,N/A,N/A,NO_FITS
Qwen3-1.7B,self,30,27,0.1266,0.0000,-0.0000,0.9774,88.9%,POOR
Qwen3-1.7B,matched_ai,30,27,0.1261,0.0000,-0.3346,0.9939,85.2%,POOR
Qwen3-1.7B,named_entity,30,25,0.0843,0.0000,-0.0000,0.9727,88.0%,POOR
Qwen3-1.7B,generic_fact,30,22,0.1970,0.0000,-0.0000,0.9999,77.3%,POOR
Qwen3-1.7B-Base,self,30,27,0.0815,0.0000,-0.0000,0.9628,92.6%,POOR
Qwen3-1.7B-Base,matched_ai,30,27,0.1974,0.0000,-0.0000,0.9999,77.8%,POOR
Qwen3-1.7B-Base,named_entity,30,28,0.1602,0.0000,-0.0000,1.0000,85.7%,POOR
Qwen3-1.7B-Base,generic_fact,30,23,0.2539,0.0000,-0.0000,0.9999,73.9%,MARGINAL
Qwen3-4B,self,30,14,0.7233,0.7961,0.2366,1.0000,0.0%,OK
Qwen3-4B,matched_ai,30,19,0.8518,0.9547,0.3054,1.0000,0.0%,OK
Qwen3-4B,named_entity,30,15,0.8558,0.9726,0.1541,1.0000,6.7%,OK
Qwen3-4B,generic_fact,30,16,0.7393,0.7508,0.2913,1.0000,0.0%,OK
Qwen3-4B-Base,self,30,17,0.8401,0.9619,0.2850,1.0000,0.0%,OK
Qwen3-4B-Base,matched_ai,30,12,0.7858,0.8984,0.3343,1.0000,0.0%,OK
Qwen3-4B-Base,named_entity,30,12,0.6219,0.7934,0.0000,0.9999,25.0%,OK
Qwen3-4B-Base,generic_fact,30,14,0.7765,0.8759,0.1884,1.0000,7.1%,OK
Qwen3-8B,self,30,19,0.6904,0.7676,0.0860,1.0000,15.8%,OK
Qwen3-8B,matched_ai,30,14,0.6668,0.8043,0.1226,1.0000,7.1%,OK
Qwen3-8B,named_entity,30,22,0.6808,0.7031,0.0360,1.0000,9.1%,OK
Qwen3-8B,generic_fact,30,13,0.6441,0.7227,0.0620,0.9702,15.4%,OK
Qwen3-8B-Base,self,30,20,0.6560,0.7256,-0.0063,0.9821,10.0%,OK
Qwen3-8B-Base,matched_ai,30,17,0.4776,0.4513,0.0560,0.9777,23.5%,MARGINAL
Qwen3-8B-Base,named_entity,30,13,0.4369,0.4449,-0.0014,0.9927,38.5%,MARGINAL
Qwen3-8B-Base,generic_fact,30,12,0.6314,0.6521,0.1262,0.9997,8.3%,OK
Qwen3-14B,self,30,30,0.0980,0.0000,-0.1666,0.8664,83.3%,POOR
Qwen3-14B,matched_ai,30,25,0.0541,-0.0000,-0.1799,0.9529,88.0%,POOR
Qwen3-14B,named_entity,30,27,0.1144,0.0000,-0.1747,0.9827,85.2%,POOR
Qwen3-14B,generic_fact,30,24,0.1360,0.0000,-0.1608,0.9952,79.2%,POOR
Qwen3-14B-Base,self,30,28,0.0447,-0.0000,-0.1360,0.5543,89.3%,POOR
Qwen3-14B-Base,matched_ai,30,25,0.0033,-0.0000,-0.1704,0.3957,92.0%,POOR
Qwen3-14B-Base,named_entity,30,27,0.0937,0.0000,-0.1116,0.4977,85.2%,POOR
Qwen3-14B-Base,generic_fact,30,24,0.1194,0.0265,-0.1355,0.9920,83.3%,POOR
Llama-3.2-1B,self,30,13,0.4369,0.3800,0.0621,0.9937,23.1%,MARGINAL
Llama-3.2-1B,matched_ai,30,20,0.5014,0.4189,0.0402,0.9987,15.0%,OK
Llama-3.2-1B,named_entity,30,12,0.5463,0.5172,0.1842,0.9458,8.3%,OK
Llama-3.2-1B,generic_fact,30,14,0.5514,0.5374,0.0000,0.9444,7.1%,OK
Llama-3.2-1B-Instruct,self,30,13,0.4076,0.2638,0.0000,0.9009,23.1%,MARGINAL
Llama-3.2-1B-Instruct,matched_ai,30,17,0.4407,0.4166,0.0087,0.8430,17.6%,MARGINAL
Llama-3.2-1B-Instruct,named_entity,30,19,0.3981,0.4445,-0.0000,0.8941,31.6%,MARGINAL
Llama-3.2-1B-Instruct,generic_fact,30,12,0.4459,0.4309,0.0562,0.9028,33.3%,MARGINAL
Llama-3.2-3B,self,30,30,0.0046,-0.0000,-0.3339,0.1673,100.0%,POOR
Llama-3.2-3B,matched_ai,30,30,0.0225,-0.0000,-0.1090,0.1604,100.0%,POOR
Llama-3.2-3B,named_entity,30,30,0.0353,-0.0000,-0.0000,0.1639,100.0%,POOR
Llama-3.2-3B,generic_fact,30,30,0.0326,-0.0000,-0.0188,0.1430,100.0%,POOR
Llama-3.2-3B-Instruct,self,30,30,0.0173,-0.0000,-0.1366,0.1460,100.0%,POOR
Llama-3.2-3B-Instruct,matched_ai,30,30,0.0191,-0.0000,-0.0571,0.1652,100.0%,POOR
Llama-3.2-3B-Instruct,named_entity,30,30,0.0407,0.0000,-0.1121,0.1641,100.0%,POOR
Llama-3.2-3B-Instruct,generic_fact,30,30,0.0346,0.0000,-0.1409,0.1631,100.0%,POOR
Llama-3.1-8B,self,30,12,0.7264,0.8696,0.2496,1.0000,0.0%,OK
Llama-3.1-8B,matched_ai,30,16,0.6578,0.6962,0.1210,1.0000,12.5%,OK
Llama-3.1-8B,named_entity,30,9,0.8507,0.9845,0.2365,1.0000,0.0%,OK
Llama-3.1-8B,generic_fact,30,18,0.6886,0.7846,0.0503,1.0000,5.6%,OK
Llama-3.1-8B-Instruct,self,30,15,0.7177,0.8610,0.2757,1.0000,0.0%,OK
Llama-3.1-8B-Instruct,matched_ai,30,10,0.6669,0.7248,0.0550,1.0000,10.0%,OK
Llama-3.1-8B-Instruct,named_entity,30,16,0.6901,0.7118,0.0390,1.0000,6.2%,OK
Llama-3.1-8B-Instruct,generic_fact,30,16,0.6832,0.9043,0.1194,1.0000,18.8%,OK
