Model,Condition,Sim_T500,Sim_T1000,Sim_T2000,Sim_T5000,Range,Profile_Type,Mean_R2
Qwen3-0.6B,self,0.789190,0.789196,0.789199,0.789199,0.000009,FROZEN,0.9761
Qwen3-0.6B,matched_ai,0.786998,0.786985,0.786986,0.786986,0.000013,FROZEN,0.9333
Qwen3-0.6B,named_entity,0.793157,0.793168,0.793170,0.793170,0.000013,FROZEN,0.9091
Qwen3-0.6B,generic_fact,0.793153,0.793146,0.793146,0.793146,0.000007,FROZEN,0.9322
Qwen3-1.7B,self,0.784924,0.784924,0.784923,0.784923,0.000002,FROZEN,0.1266
Qwen3-1.7B,matched_ai,0.796215,0.796216,0.796215,0.796215,0.000001,FROZEN,0.1261
Qwen3-1.7B,named_entity,0.773632,0.773632,0.773632,0.773632,0.000001,FROZEN,0.0843
Qwen3-1.7B,generic_fact,0.774550,0.774550,0.774551,0.774551,0.000001,FROZEN,0.1970
Qwen3-1.7B-Base,self,0.776503,0.776501,0.776503,0.776503,0.000002,FROZEN,0.0815
Qwen3-1.7B-Base,matched_ai,0.792517,0.792520,0.792517,0.792517,0.000003,FROZEN,0.1974
Qwen3-1.7B-Base,named_entity,0.763615,0.763614,0.763613,0.763613,0.000001,FROZEN,0.1602
Qwen3-1.7B-Base,generic_fact,0.751908,0.751906,0.751907,0.751907,0.000003,FROZEN,0.2539
Qwen3-4B,self,0.808782,0.808788,0.808788,NA,0.000006,FROZEN,0.7233
Qwen3-4B,matched_ai,0.808077,0.808068,0.808067,NA,0.000010,FROZEN,0.8518
Qwen3-4B,named_entity,0.771461,0.771450,0.771464,NA,0.000014,FROZEN,0.8558
Qwen3-4B,generic_fact,0.782822,0.782818,0.782814,NA,0.000008,FROZEN,0.7393
Qwen3-4B-Base,self,0.803477,0.803474,0.803473,0.803473,0.000004,FROZEN,0.8401
Qwen3-4B-Base,matched_ai,0.808106,0.808110,0.808110,0.808110,0.000004,FROZEN,0.7858
Qwen3-4B-Base,named_entity,0.772881,0.772887,0.772885,0.772885,0.000006,FROZEN,0.6219
Qwen3-4B-Base,generic_fact,0.773601,0.773620,0.773616,0.773616,0.000019,FROZEN,0.7765
Qwen3-8B,self,0.812821,0.812821,0.812815,NA,0.000006,FROZEN,0.6904
Qwen3-8B,matched_ai,0.819540,0.819534,0.819542,NA,0.000007,FROZEN,0.6668
Qwen3-8B,named_entity,0.791087,0.791077,0.791073,NA,0.000015,FROZEN,0.6808
Qwen3-8B,generic_fact,0.796143,0.796148,0.796145,NA,0.000005,FROZEN,0.6441
Qwen3-8B-Base,self,0.805900,0.805893,0.805889,0.805887,0.000013,FROZEN,0.6560
Qwen3-8B-Base,matched_ai,0.811212,0.811210,0.811223,0.811208,0.000016,FROZEN,0.4776
Qwen3-8B-Base,named_entity,0.782480,0.782475,0.782489,0.782480,0.000014,FROZEN,0.4369
Qwen3-8B-Base,generic_fact,0.783342,0.783343,0.783342,0.783346,0.000004,FROZEN,0.6314
Qwen3-14B,self,0.833886,0.833885,0.833880,0.833884,0.000006,FROZEN,0.0980
Qwen3-14B,matched_ai,0.837429,0.837417,0.837423,0.837429,0.000012,FROZEN,0.0541
Qwen3-14B,named_entity,0.813134,0.813124,0.813126,0.813131,0.000010,FROZEN,0.1144
Qwen3-14B,generic_fact,0.813879,0.813877,0.813885,0.813880,0.000009,FROZEN,0.1360
Qwen3-14B-Base,self,0.815319,0.815308,0.815311,0.815320,0.000012,FROZEN,0.0447
Qwen3-14B-Base,matched_ai,0.821028,0.821022,0.821028,0.821030,0.000007,FROZEN,0.0033
Qwen3-14B-Base,named_entity,0.800872,0.800880,0.800879,0.800875,0.000008,FROZEN,0.0937
Qwen3-14B-Base,generic_fact,0.794573,0.794574,0.794579,0.794573,0.000006,FROZEN,0.1194
