Layer,Mean_KL,Std_KL,Mean_Entropy_Change,N_prompts
0,0.000000,0.000000,0.000000,30
1,0.000000,0.000000,0.000000,30
2,0.000000,0.000000,0.000000,30
3,0.000000,0.000000,0.000000,30
4,0.000000,0.000000,0.000000,30
5,0.000000,0.000000,0.000000,30
6,0.000000,0.000000,0.000000,30
7,0.000000,0.000000,0.000000,30
8,0.000000,0.000000,0.000000,30
9,0.000000,0.000000,0.000000,30
10,0.000000,0.000000,0.000000,30
11,0.000000,0.000000,0.000000,30
12,0.000000,0.000000,0.000000,30
13,0.000000,0.000000,0.000000,30
14,0.000000,0.000000,0.000000,30
15,0.000000,0.000000,0.000000,30
16,0.000000,0.000000,0.000000,30
17,0.009800,0.008575,0.138961,30
18,0.001694,0.000844,-0.041071,30
19,0.001690,0.000645,-0.046423,30
20,0.000788,0.000272,-0.025436,30
21,0.001040,0.000359,-0.031137,30
22,0.000698,0.000222,-0.016661,30
23,0.000618,0.000190,-0.008896,30
24,0.000876,0.000321,-0.030165,30
25,0.000716,0.000194,-0.023913,30
26,0.001116,0.000487,-0.021121,30
27,0.000531,0.000226,-0.010376,30
28,0.000838,0.000319,-0.016966,30
29,0.001078,0.000417,-0.023470,30
30,0.001194,0.000420,-0.021293,30
31,0.000703,0.000342,-0.016844,30
